Client ID,Request,Expected service time
27B,7:00:00,5
28B,7:00:00,25
2B,7:00:00,30
19B,7:15:00,25
14B,7:15:00,30
3B,7:15:00,35
15B,7:15:00,45
17B,7:15:00,30
3B,7:36:00,5
12B,7:45:00,25
10B,7:45:00,25
20B,7:45:00,30
8B,7:45:00,40
23B,7:50:00,40
28B,7:55:00,5
18B,7:58:00,5
12B,8:00:00,5
14B,8:00:00,5
3B,8:00:00,5
11B,8:00:00,5
22B,8:00:00,5
28B,8:00:00,5
2B,8:00:00,5
13B,8:00:00,5
24B,8:00:00,5
25B,8:00:00,5
18B,8:00:00,5
4B,8:00:00,5
9B,8:00:00,5
16B,8:00:00,5
1B,8:00:00,5
14B,8:01:00,10
20B,8:03:00,5
10B,8:05:00,10
11B,8:10:00,5
22B,8:14:00,10
20B,8:15:00,5
6B,8:15:00,5
10B,8:15:00,5
27B,8:15:00,5
5B,8:15:00,10
25B,8:15:00,10
17B,8:30:00,5
6B,8:30:00,5
12B,8:30:00,5
15B,8:30:00,5
4B,8:30:00,5
9B,8:30:00,5
24B,8:30:00,5
19B,8:30:00,10
22B,8:30:00,20
26B,8:30:00,30
16B,8:34:00,5
18B,8:40:00,5
16B,8:40:00,5
9B,8:45:00,5
15B,8:45:00,10
27B,8:45:00,40
11B,9:00:00,5
27B,9:00:00,5
1B,9:00:00,5
7B,9:00:00,5
26B,9:00:00,15
5B,9:00:00,55
22B,9:05:00,30
13B,9:15:00,40
24B,9:25:00,5
27B,9:30:00,5
22B,9:30:00,15
6B,9:30:00,20
21B,9:30:00,50
8B,9:45:00,25
16B,10:00:00,5
9B,10:00:00,5
12B,10:00:00,5
17B,10:00:00,5
20B,10:00:00,5
22B,10:00:00,5
4B,10:00:00,5
6B,10:00:00,5
14B,10:00:00,5
7B,10:00:00,20
11B,10:00:00,65
22B,10:01:00,5
18B,10:10:00,5
17B,10:15:00,5
14B,10:31:00,10
13B,10:45:00,5
2B,10:45:00,20
4B,10:45:00,25
27B,11:00:00,5
10B,11:45:00,10
22B,12:10:00,5
16B,12:15:00,5
10B,12:15:00,5
12B,12:15:00,5
20B,12:15:00,5
2B,12:15:00,5
5B,12:15:00,5
13B,12:15:00,5
22B,12:15:00,10
9B,12:15:00,10
19B,12:15:00,20
1B,12:15:00,30
23B,12:15:00,30
18B,12:20:00,5
15B,12:30:00,5
28B,12:30:00,5
7B,12:30:00,5
21B,12:30:00,10
24B,12:30:00,20
27B,13:00:00,5
5B,13:00:00,5
23B,13:00:00,5
4B,13:00:00,10
11B,13:00:00,10
13B,13:00:00,10
22B,13:00:00,10
24B,13:00:00,10
8B,13:00:00,15
7B,13:00:00,25
20B,13:05:00,20
12B,13:10:00,5
18B,13:15:00,5
16B,13:15:00,5
7B,13:45:00,10
24B,13:55:00,5
14B,14:29:00,5
11B,14:29:00,10
12B,14:30:00,5
17B,14:30:00,5
23B,14:30:00,5
2B,14:30:00,5
3B,14:30:00,5
6B,14:30:00,5
16B,14:30:00,5
19B,14:30:00,5
5B,14:30:00,5
24B,14:30:00,10
4B,14:35:00,5
16B,14:45:00,5
4B,14:45:00,5
16B,14:55:00,5
22B,15:00:00,5
27B,15:00:00,5
28B,15:00:00,5
14B,15:00:00,5
20B,15:00:00,10
13B,15:00:00,15
2B,15:00:00,20
8B,15:00:00,15
13B,15:15:00,5
9B,15:30:00,15
10B,16:45:00,15
7B,17:05:00,5
10B,17:13:00,5
17B,17:15:00,5
20B,17:15:00,5
14B,17:15:00,5
6B,17:15:00,5
22B,17:15:00,10
8B,17:18:00,10
18B,17:20:00,5
16B,17:30:00,5
12B,17:30:00,5
1B,17:30:00,5
2B,17:30:00,5
5B,17:30:00,5
22B,17:30:00,10
17B,17:30:00,10
19B,17:30:00,10
28B,17:30:00,10
14B,17:30:00,20
21B,17:30:00,20
23B,17:30:00,20
18B,18:00:00,5
19B,18:00:00,5
7B,18:00:00,5
8B,18:00:00,10
4B,18:00:00,20
8B,18:30:00,10
18B,19:00:00,5
15B,19:00:00,5
2B,19:00:00,15
13B,19:00:00,20
20B,19:00:00,25
3B,19:00:00,20
2B,19:15:00,5
8B,19:20:00,25
16B,19:30:00,5
12B,19:30:00,5
20B,19:30:00,5
22B,19:30:00,5
23B,19:30:00,5
5B,19:30:00,5
19B,19:30:00,5
8B,19:30:00,10
24B,19:30:00,15
16B,20:00:00,5
22B,20:01:00,10
23B,20:30:00,5
15B,20:30:00,25
22B,20:30:00,20
23B,20:45:00,10
10B,20:50:00,15
12B,21:00:00,5
20B,21:00:00,5
23B,21:00:00,5
14B,21:00:00,5
21B,21:00:00,5
27B,21:00:00,5
5B,21:00:00,5
15B,21:00:00,10
18B,21:00:00,10
1B,21:00:00,15
7B,21:05:00,5
10B,21:05:00,10
19B,21:30:00,5
9B,21:30:00,5
13B,21:30:00,15
18B,22:00:00,5
12B,22:15:00,10
1B,22:45:00,15
11B,22:59:59,10
